,College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,,Projected_Demand,Current_Demand,Future_Demand
163,College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Mechanical Engineering,2020,29,Main,13.673405,273.4681,287.141505
164,College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Mechanical Engineering,2020,5,Online,13.673405,273.4681,287.141505
165,College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Aerospace Engineering,2020,171,Main,0.368555,7.3711,7.739655
166,College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Mechanical Engineering,2020,65,Distance,13.673405,273.4681,287.141505
167,College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Mechanical Engineering,2020,432,Main,13.673405,273.4681,287.141505
168,College of Engineering,Biomedical Engineering,Graduate,Doctor of Philosophy in Biomedical Engineering,2020,41,Main,0.8855,17.71,18.5955
169,College of Engineering,Biomedical Engineering,Graduate,Master of Science in Biomedical Engineering,2020,17,Main,0.8855,17.71,18.5955
170,College of Engineering,Biomedical Engineering,Undergraduate,Major in Biomedical Engineering,2020,174,Main,0.8855,17.71,18.5955
171,College of Engineering,Chemical & Environmental Engr,Graduate,Doctor of Philosophy in Chemical Engineering,2020,28,Main,1.78347,35.6694,37.45287
172,College of Engineering,Chemical & Environmental Engr,Graduate,Doctor of Philosophy in Environmental Engineering,2020,20,Main,2.40955,48.191,50.60055
173,College of Engineering,Chemical & Environmental Engr,Graduate,Master of Science in Chemical Engineering,2020,15,Main,1.78347,35.6694,37.45287
174,College of Engineering,Chemical & Environmental Engr,Graduate,Master of Science in Environmental Engineering,2020,8,Main,2.40955,48.191,50.60055
175,College of Engineering,Chemical & Environmental Engr,Undergraduate,Major in Chemical Engineering,2020,279,Main,1.78347,35.6694,37.45287
176,College of Engineering,Chemical & Environmental Engr,Undergraduate,Major in Environmental Engineering,2020,20,Main,2.40955,48.191,50.60055
177,College of Engineering,Civil Arch Engr and Mechanics,Graduate,Doctor of Philosophy in Civil Engineering & Engineering Mechanics,2020,29,Main,14.16564,283.3128,297.47844
178,College of Engineering,Civil Arch Engr and Mechanics,Graduate,Master of Science in Civil Engineering & Engineering Mechanics,2020,3,Main,14.16564,283.3128,297.47844
179,College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Architectural Engineering,2020,35,Main,9.041382,106.3692,115.410582
180,College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Civil Engineering,2020,7,Distance,14.16564,283.3128,297.47844
181,College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Civil Engineering,2020,127,Main,14.16564,283.3128,297.47844
182,College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Advanced Transportation Engineering,2020,1,Online,14.16564,283.3128,297.47844
183,College of Engineering,College of Engineering,Graduate,Master of Engineering,2020,32,Main,14.16564,283.3128,297.47844
184,College of Engineering,College of Engineering,Graduate,Master of Engineering,2020,41,Online,14.16564,283.3128,297.47844
185,College of Engineering,Electrical and Computer Engr,Graduate,Doctor of Philosophy in Electrical and Computer Engineering,2020,112,Main,0,84.2723,84.2723
186,College of Engineering,Electrical and Computer Engr,Graduate,Master of Science in Electrical and Computer Engineering,2020,89,Main,0,84.2723,84.2723
187,College of Engineering,Electrical and Computer Engr,Graduate,Master of Science in Electrical and Computer Engineering,2020,201,Online,0,84.2723,84.2723
188,College of Engineering,Electrical and Computer Engr,Undergraduate,Major in Electrical and Computer Engineering,2020,437,Main,0,84.2723,84.2723
189,College of Engineering,Electrical and Computer Engr,Undergraduate,Major in Electrical and Computer Engineering,2020,7,Online,0,84.2723,84.2723
190,College of Engineering,Engineering Administration,Graduate,Doctor of Philosophy in Biosystems Engineering,2020,22,Main,0,193.3206,193.3206
191,College of Engineering,Engineering Administration,Graduate,Master of Science in Biosystems Engineering,2020,1,Distance,0,193.3206,193.3206
192,College of Engineering,Engineering Administration,Graduate,Master of Science in Biosystems Engineering,2020,17,Main,0,193.3206,193.3206
193,College of Engineering,Engineering Administration,Undergraduate,Major in Biosystems Engineering,2020,56,Main,0,193.3206,193.3206
194,College of Engineering,Engineering Administration,Undergraduate,Engineering 102,2020,375,Community,5.370816,48.8256,54.196416
195,College of Engineering,Engineering Administration,Undergraduate,No Major Selected Engineering,2020,790,Main,5.370816,48.8256,54.196416
196,College of Engineering,Engineering Administration,Undergraduate,Pre-Engineering,2020,32,Online,5.370816,48.8256,54.196416
