College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus
College of Engineering,Electrical and Computer Engr,Graduate,Doctor of Philosophy in Electrical and Computer Engineering,2020,112,Main
College of Engineering,Electrical and Computer Engr,Graduate,Master of Science in Electrical and Computer Engineering,2020,89,Main
College of Engineering,Electrical and Computer Engr,Undergraduate,Major in Electrical and Computer Engineering,2020,437,Main
College of Engineering,Engineering Administration,Graduate,Doctor of Philosophy in Biosystems Engineering,2020,22,Main
College of Engineering,Engineering Administration,Graduate,Master of Science in Biosystems Engineering,2020,17,Main
College of Engineering,Engineering Administration,Undergraduate,Major in Biosystems Engineering,2020,56,Main
College of Engineering,Materials Science & Engr,Graduate,Doctor of Philosophy in Materials Science and Engineering,2020,18,Main
College of Engineering,Materials Science & Engr,Graduate,Master of Science in Materials Science and Engineering,2020,11,Main
College of Engineering,Materials Science & Engr,Undergraduate,Major in Materials Science & Engineering,2020,61,Main
College of Engineering,Mining & Geological Engr,Graduate,"Doctor of Philosophy in Mining, Geological and Geophysical Engineering",2020,13,Main
College of Engineering,Mining & Geological Engr,Graduate,"Master of Science in Mining, Geological and Geophysical Engineering",2020,16,Main
College of Engineering,Mining & Geological Engr,Undergraduate,Major in Mining Engineering,2020,65,Main
College of Engineering,Systems and Industrial Engr,Graduate,Doctor of Philosophy in Systems and Industrial Engineering,2020,46,Main
College of Engineering,Systems and Industrial Engr,Graduate,Engineering Management,2020,1,Main
College of Engineering,Systems and Industrial Engr,Graduate,Quality and Reliability Engineering,2020,2,Main
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,11,Main
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Industrial Engineering,2020,10,Main
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,11,Main
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Engineering Management,2020,53,Main
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Industrial Engineering,2020,118,Main
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Systems Engineering,2020,124,Main
College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Mechanical Engineering,2020,5,Online
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Advanced Transportation Engineering,2020,1,Online
College of Engineering,College of Engineering,Graduate,Master of Engineering,2020,41,Online
College of Engineering,Electrical and Computer Engr,Graduate,Master of Science in Electrical and Computer Engineering,2020,201,Online
College of Engineering,Electrical and Computer Engr,Undergraduate,Major in Electrical and Computer Engineering,2020,7,Online
College of Engineering,Materials Science & Engr,Graduate,Master of Science in Materials Science and Engineering,2020,11,Online
College of Engineering,Mining & Geological Engr,Graduate,Fundamentals of Mine Operations and Economics,2020,12,Online
College of Engineering,Mining & Geological Engr,Graduate,Mine Production and Information Technology,2020,3,Online
College of Engineering,Mining & Geological Engr,Graduate,Mineral Processing and Extractive Metallurgy,2020,4,Online
College of Engineering,Mining & Geological Engr,Graduate,Rock Mechanics,2020,4,Online
College of Engineering,Systems and Industrial Engr,Graduate,Engineering Management,2020,5,Online
College of Engineering,Systems and Industrial Engr,Graduate,Quality and Reliability Engineering,2020,4,Online
College of Engineering,Systems and Industrial Engr,Graduate,Systems Engineering,2020,1,Online
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Cybersecurity,2020,65,Online
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,39,Online
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Industrial Engineering,2020,11,Online
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,47,Online
College of Fine Arts,"Art History, Div",Graduate,Master of Arts in Art History,2020,11,Main
College of Fine Arts,"Art History, Div",Undergraduate,Major in Art History,2020,45,Main
College of Fine Arts,"Art History, Div",Undergraduate,Major in Art History,2020,6,Main
College of Fine Arts,Sch Theatre Film & Television,Graduate,Master of Fine Arts in Theatre Arts,2020,10,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,261,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,16,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,49,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Musical Theatre,2020,41,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,106,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,5,Main
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Production,2020,95,Main
College of Fine Arts,School of Art,Graduate,Doctor of Philosophy in Art History & Education,2020,27,Main
College of Fine Arts,School of Art,Graduate,Museum Studies,2020,2,Main
College of Fine Arts,School of Art,Graduate,Master of Arts in Art Education,2020,1,Main
College of Fine Arts,School of Art,Graduate,Master of Arts in Art and Visual Culture Education,2020,7,Main
College of Fine Arts,School of Art,Graduate,Master of Fine Arts in Art,2020,36,Main
College of Fine Arts,School of Art,Undergraduate,Major in Art Education,2020,2,Main
College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,33,Main
College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,2,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,161,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,10,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,264,Main
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,3,Main
College of Fine Arts,School of Dance,Graduate,Master of Fine Arts in Dance,2020,9,Main
College of Fine Arts,School of Dance,Undergraduate,Major in Dance,2020,144,Main
College of Fine Arts,School of Music,Graduate,Doctor of Musical Arts in Music,2020,95,Main
College of Fine Arts,School of Music,Graduate,Doctor of Philosophy in Music,2020,15,Main
College of Fine Arts,School of Music,Graduate,Master of Music in Music,2020,51,Main
College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,73,Main
College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,2,Main
College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,85,Main
