College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus,Demand
College of Education,Disability Psychoeduc Studies,Graduate,Master of Arts in Special Education,2020,90,Online,65.592576
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Deaf Studies,2020,32,Main,6.096453
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Mild Moderate Disabilities,2020,39,Main,53.7279375
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Rehabilitation Studies and Services,2020,55,Main,46.39026
College of Education,Disability Psychoeduc Studies,Undergraduate,Major in Special Education and Rehabilitation,2020,38,Main,53.7279375
College of Education,Disability Psychoeduc Studies,Undergraduate,American Sign Lang High School,2020,52,Community,379.0248
College of Education,Disability Psychoeduc Studies,Undergraduate,Pre-Deaf Studies,2020,30,Main,6.096453
College of Education,Disability Psychoeduc Studies,Undergraduate,Pre-Mild Moderate Disabilities,2020,36,Main,53.7279375
College of Education,Educational Psychology,Graduate,Doctor of Philosophy in Educational Psychology,2020,23,Main,40.871088
College of Education,Educational Psychology,Graduate,Educational Research Methodology,2020,3,Main,83.23392
College of Education,Educational Psychology,Graduate,Master of Arts in Educational Psychology,2020,16,Main,40.871088
College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Education in Educational Leadership,2020,13,Main,198.5631375
College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Philosophy in Educational Leadership and Policy,2020,45,Main,197.552677
College of Education,Educatnl Policy Studies Pract,Graduate,Doctor of Philosophy in Higher Education,2020,93,Main,55.526177
College of Education,Educatnl Policy Studies Pract,Graduate,Master of Arts in Education Policy,2020,6,Main,42.2493575
College of Education,Educatnl Policy Studies Pract,Graduate,Master of Arts in Higher Education,2020,30,Main,55.526177
College of Education,Educatnl Policy Studies Pract,Graduate,Master of Education in Educational Leadership,2020,31,Main,197.552677
College of Education,Teachg Learning Sociocult Stds,Graduate,"Doctor of Philosophy in Language, Reading and Culture",2020,69,Main,23.484608
College of Education,Teachg Learning Sociocult Stds,Graduate,Doctor of Philosophy in Teaching and Teacher Education,2020,30,Main,198.5631375
College of Education,Teachg Learning Sociocult Stds,Graduate,"Educational Specialist in Language, Reading and Culture",2020,1,Main,4.7400395
College of Education,Teachg Learning Sociocult Stds,Graduate,"Master of Arts in Language, Reading and Culture",2020,17,Main,23.484608
College of Education,Teachg Learning Sociocult Stds,Graduate,Master of Arts in Teaching and Teacher Education,2020,30,Main,198.5631375
College of Education,Teachg Learning Sociocult Stds,Graduate,Master of Education in Teaching and Teacher Education,2020,38,Distance,198.5631375
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Early Childhood Education,2020,47,Main,169.311212
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Elementary Education,2020,10,Distance,855.893655
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Major in Elementary Education,2020,226,Main,855.893655
College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,206,Main,198.5631375
College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,32,Online,198.5631375
College of Education,Teachg Learning Sociocult Stds,Undergraduate,"Major in Literacy, Learning and Leadership",2020,2,Main,198.5631375
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Pre-Early Childhood Education,2020,68,Main,169.311212
College of Education,Teachg Learning Sociocult Stds,Undergraduate,Pre-Elementary Education,2020,205,Main,169.311212
College of Engineering,Aerospace & Mechanical Engr,Graduate,Doctor of Philosophy in Aerospace Engineering,2020,38,Main,7.739655
College of Engineering,Aerospace & Mechanical Engr,Graduate,Doctor of Philosophy in Mechanical Engineering,2020,37,Main,287.141505
College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Aerospace Engineering,2020,19,Main,7.739655
College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Mechanical Engineering,2020,29,Main,287.141505
College of Engineering,Aerospace & Mechanical Engr,Graduate,Master of Science in Mechanical Engineering,2020,5,Online,287.141505
College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Aerospace Engineering,2020,171,Main,7.739655
College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Mechanical Engineering,2020,65,Distance,287.141505
College of Engineering,Aerospace & Mechanical Engr,Undergraduate,Major in Mechanical Engineering,2020,432,Main,287.141505
College of Engineering,Biomedical Engineering,Graduate,Doctor of Philosophy in Biomedical Engineering,2020,41,Main,18.5955
College of Engineering,Biomedical Engineering,Graduate,Master of Science in Biomedical Engineering,2020,17,Main,18.5955
College of Engineering,Biomedical Engineering,Undergraduate,Major in Biomedical Engineering,2020,174,Main,18.5955
College of Engineering,Chemical & Environmental Engr,Graduate,Doctor of Philosophy in Chemical Engineering,2020,28,Main,37.45287
College of Engineering,Chemical & Environmental Engr,Graduate,Doctor of Philosophy in Environmental Engineering,2020,20,Main,50.60055
College of Engineering,Chemical & Environmental Engr,Graduate,Master of Science in Chemical Engineering,2020,15,Main,37.45287
College of Engineering,Chemical & Environmental Engr,Graduate,Master of Science in Environmental Engineering,2020,8,Main,50.60055
College of Engineering,Chemical & Environmental Engr,Undergraduate,Major in Chemical Engineering,2020,279,Main,37.45287
College of Engineering,Chemical & Environmental Engr,Undergraduate,Major in Environmental Engineering,2020,20,Main,50.60055
College of Engineering,Civil Arch Engr and Mechanics,Graduate,Doctor of Philosophy in Civil Engineering & Engineering Mechanics,2020,29,Main,297.47844
College of Engineering,Civil Arch Engr and Mechanics,Graduate,Master of Science in Civil Engineering & Engineering Mechanics,2020,3,Main,297.47844
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Architectural Engineering,2020,35,Main,115.410582
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Civil Engineering,2020,7,Distance,297.47844
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Major in Civil Engineering,2020,127,Main,297.47844
College of Engineering,Civil Arch Engr and Mechanics,Undergraduate,Advanced Transportation Engineering,2020,1,Online,297.47844
College of Engineering,College of Engineering,Graduate,Master of Engineering,2020,32,Main,297.47844
College of Engineering,College of Engineering,Graduate,Master of Engineering,2020,41,Online,297.47844
College of Engineering,Electrical and Computer Engr,Graduate,Doctor of Philosophy in Electrical and Computer Engineering,2020,112,Main,84.2723
College of Engineering,Electrical and Computer Engr,Graduate,Master of Science in Electrical and Computer Engineering,2020,89,Main,84.2723
College of Engineering,Electrical and Computer Engr,Graduate,Master of Science in Electrical and Computer Engineering,2020,201,Online,84.2723
College of Engineering,Electrical and Computer Engr,Undergraduate,Major in Electrical and Computer Engineering,2020,437,Main,84.2723
College of Engineering,Electrical and Computer Engr,Undergraduate,Major in Electrical and Computer Engineering,2020,7,Online,84.2723
College of Engineering,Engineering Administration,Graduate,Doctor of Philosophy in Biosystems Engineering,2020,22,Main,193.3206
College of Engineering,Engineering Administration,Graduate,Master of Science in Biosystems Engineering,2020,1,Distance,193.3206
College of Engineering,Engineering Administration,Graduate,Master of Science in Biosystems Engineering,2020,17,Main,193.3206
College of Engineering,Engineering Administration,Undergraduate,Major in Biosystems Engineering,2020,56,Main,193.3206
College of Engineering,Engineering Administration,Undergraduate,Engineering 102,2020,375,Community,54.196416
College of Engineering,Engineering Administration,Undergraduate,No Major Selected Engineering,2020,790,Main,54.196416
College of Engineering,Engineering Administration,Undergraduate,Pre-Engineering,2020,32,Online,54.196416
College of Engineering,Materials Science & Engr,Graduate,Doctor of Philosophy in Materials Science and Engineering,2020,18,Main,25.8692
College of Engineering,Materials Science & Engr,Graduate,Master of Science in Materials Science and Engineering,2020,11,Main,25.8692
College of Engineering,Materials Science & Engr,Graduate,Master of Science in Materials Science and Engineering,2020,11,Online,25.8692
College of Engineering,Materials Science & Engr,Undergraduate,Major in Materials Science & Engineering,2020,61,Main,25.8692
College of Engineering,Mining & Geological Engr,Graduate,"Doctor of Philosophy in Mining, Geological and Geophysical Engineering",2020,13,Main,5.673375
College of Engineering,Mining & Geological Engr,Graduate,Fundamentals of Mine Operations and Economics,2020,12,Online,5.673375
College of Engineering,Mining & Geological Engr,Graduate,Mine Production and Information Technology,2020,3,Online,5.673375
College of Engineering,Mining & Geological Engr,Graduate,Mineral Processing and Extractive Metallurgy,2020,4,Online,5.673375
College of Engineering,Mining & Geological Engr,Graduate,Rock Mechanics,2020,4,Online,5.673375
College of Engineering,Mining & Geological Engr,Graduate,"Master of Science in Mining, Geological and Geophysical Engineering",2020,16,Main,5.673375
College of Engineering,Mining & Geological Engr,Undergraduate,Major in Mining Engineering,2020,65,Main,5.673375
College of Engineering,Systems and Industrial Engr,Graduate,Doctor of Philosophy in Systems and Industrial Engineering,2020,46,Main,269.14944
College of Engineering,Systems and Industrial Engr,Graduate,Engineering Management,2020,1,Main,812.990196
College of Engineering,Systems and Industrial Engr,Graduate,Engineering Management,2020,5,Online,812.990196
College of Engineering,Systems and Industrial Engr,Graduate,Quality and Reliability Engineering,2020,2,Main,193.3206
College of Engineering,Systems and Industrial Engr,Graduate,Quality and Reliability Engineering,2020,4,Online,193.3206
College of Engineering,Systems and Industrial Engr,Graduate,Systems Engineering,2020,1,Online,84.2723
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Cybersecurity,2020,65,Online,654.982362
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,26,Distance,812.990196
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,11,Main,812.990196
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,39,Online,812.990196
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Industrial Engineering,2020,10,Main,269.14944
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Industrial Engineering,2020,11,Online,269.14944
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,3,Distance,84.2723
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,11,Main,84.2723
College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,47,Online,84.2723
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Engineering Management,2020,1,Distance,812.990196
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Engineering Management,2020,53,Main,812.990196
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Industrial Engineering,2020,112,Distance,269.14944
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Industrial Engineering,2020,118,Main,269.14944
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Systems Engineering,2020,38,Distance,84.2723
College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Systems Engineering,2020,124,Main,84.2723
College of Fine Arts,"Art History, Div",Graduate,Master of Arts in Art History,2020,11,Main,14.3202
College of Fine Arts,"Art History, Div",Undergraduate,Major in Art History,2020,45,Main,14.3202
College of Fine Arts,"Art History, Div",Undergraduate,Major in Art History,2020,6,Main,14.3202
College of Fine Arts,Fine Arts Administration,Undergraduate,No Major Selected Fine Arts,2020,2,Main,14.3202
College of Fine Arts,Sch Theatre Film & Television,Graduate,Master of Fine Arts in Theatre Arts,2020,10,Main,14.3202
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,261,Main,93.7078
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,16,Main,93.7078
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,49,Main,93.7078
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Musical Theatre,2020,41,Main,32.2595
